"Id","Success","Created","Error"
"001aZ00000djvLLQAY","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvLMQAY","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvLNQAY","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvLOQAY","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvLPQAY","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvLQQAY","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0a0QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0a1QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0a2QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0a3QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0a4QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0a5QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0a6QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0a7QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0a8QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0a9QAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aaQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aAQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0abQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aBQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0acQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aCQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0adQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aDQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aeQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aEQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0afQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aFQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0agQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aGQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0ahQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aHQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aiQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aIQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0ajQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aJQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0akQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aKQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0alQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aLQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0amQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aMQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0anQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aNQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aoQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aOQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0apQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aPQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aqQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aQQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0arQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aRQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0asQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aSQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0atQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0aTQAQ","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000dk0auQAA","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
